,Power,Wheels_Size,Rear_Tyre_&_Rim,Displacement,Cylinders,Fuel_Tank_Capacity,Front_Tyre_&_Rim,Torque,Fuel_System,Maruti Suzuki,Honda,Tata,Jeep,Kia,Hyundai,Bmw,Ford,Maruti Suzuki R,Mahindra
804,,,,1998.0,6.0,68.0,,350.0,1.0,0,0,0,0,0,0,1,0,0,0
805,268.0,245.0,245.0,1999.0,4.0,85.0,245.0,400.0,1.0,0,0,0,1,0,0,0,0,0,0
806,,,,1991.0,4.0,60.0,,,1.0,0,0,0,0,0,0,0,0,0,0
807,,,,1998.0,4.0,52.0,,,1.0,0,0,0,0,0,0,1,0,0,0
808,,,,2998.0,6.0,52.0,,,1.0,0,0,0,0,0,0,1,0,0,0
809,,,,2143.0,4.0,93.0,,,1.0,0,0,0,0,0,0,0,0,0,0
810,,,,2143.0,4.0,93.0,,,1.0,0,0,0,0,0,0,0,0,0,0
811,163.0,,,1950.0,4.0,70.0,,380.0,1.0,0,0,0,0,0,0,0,0,0,0
821,194.0,,,1950.0,6.0,80.0,,,1.0,0,0,0,0,0,0,0,0,0,0
840,,,,2995.0,6.0,75.0,,450.0,1.0,0,0,0,0,0,0,0,0,0,0
841,,,,3996.0,6.0,90.0,,770.0,1.0,0,0,0,0,0,0,0,0,0,0
842,335.0,,,2995.0,6.0,75.0,,,1.0,0,0,0,0,0,0,0,0,0,0
871,,,305.0,5204.0,10.0,90.0,245.0,560.0,1.0,0,0,0,0,0,0,0,0,0,0
904,,195.0,195.0,1197.0,4.0,37.0,195.0,115.0,1.0,1,0,0,0,0,0,0,0,0,0
905,,195.0,195.0,1197.0,4.0,37.0,195.0,115.0,1.0,1,0,0,0,0,0,0,0,0,0
906,,185.0,185.0,1197.0,4.0,37.0,185.0,115.0,1.0,1,0,0,0,0,0,0,0,0,0
907,,185.0,185.0,1197.0,4.0,37.0,185.0,115.0,1.0,1,0,0,0,0,0,0,0,0,0
908,,185.0,185.0,1197.0,4.0,37.0,185.0,115.0,1.0,1,0,0,0,0,0,0,0,0,0
909,,195.0,195.0,1197.0,4.0,37.0,195.0,115.0,1.0,1,0,0,0,0,0,0,0,0,0
910,,185.0,185.0,1197.0,4.0,37.0,185.0,115.0,1.0,1,0,0,0,0,0,0,0,0,0
911,,195.0,195.0,1197.0,4.0,37.0,195.0,115.0,1.0,1,0,0,0,0,0,0,0,0,0
912,,185.0,185.0,1197.0,4.0,37.0,185.0,115.0,1.0,1,0,0,0,0,0,0,0,0,0
929,,185.0,185.0,1462.0,4.0,45.0,185.0,138.0,1.0,1,0,0,0,0,0,0,0,0,0
930,,185.0,185.0,1462.0,4.0,45.0,185.0,138.0,1.0,1,0,0,0,0,0,0,0,0,0
931,,185.0,185.0,1462.0,4.0,45.0,185.0,130.0,1.0,1,0,0,0,0,0,0,0,0,0
932,,185.0,185.0,1462.0,4.0,45.0,185.0,130.0,1.0,1,0,0,0,0,0,0,0,0,0
933,,185.0,185.0,1462.0,4.0,45.0,185.0,180.0,1.0,1,0,0,0,0,0,0,0,0,0
